Area,Section,Row,Seat,Lock,Allocation,Total-Seats,Seat-Type
101,101,17,20,OPENHOLD,,1,
101,101,17,21,OPENHOLD,,1,
101,101,18,1,ADA-LTDMOB,,1,SA1
101,101,18,2,ADA-LTDMOB,,1,SA1
101,101,18,3,OPENHOLD,,1,
101,101,18,4,OPENHOLD,,1,
101,101,18,5,OPENHOLD,,1,
101,101,18,6,OPENHOLD,,1,
101,101,18,7,OPENHOLD,,1,
101,101,18,8,OPENHOLD,,1,
101,101,18,9,OPENHOLD,,1,
101,101,18,10,OPENHOLD,,1,
101,101,18,11,OPENHOLD,,1,
101,101,18,12,OPENHOLD,,1,
101,101,18,13,OPENHOLD,,1,
101,101,18,14,OPENHOLD,,1,
101,101,18,15,OPENHOLD,,1,
101,101,18,16,OPENHOLD,,1,
101,101,18,17,OPENHOLD,,1,
101,101,18,18,OPENHOLD,,1,
101,101,18,19,OPENHOLD,,1,
101,101,18,20,ADA-LTDMOB,,1,SA1
101,101,18,21,ADA-LTDMOB,,1,SA1
101,101,19,1,,Alumni-Tickets,1,INF
101,101,19,2,,Alumni-Tickets,1,INF
101,101,19,3,,Alumni-Tickets,1,INF
101,101,19,4,,Alumni-Tickets,1,INF
101,101,19,5,,Alumni-Tickets,1,INF
101,101,19,6,,Alumni-Tickets,1,INF
101,101,19,7,,Alumni-Tickets,1,INF
101,101,19,8,,Alumni-Tickets,1,INF
101,101,19,9,,Alumni-Tickets,1,INF
101,101,19,10,,Alumni-Tickets,1,INF
101,101,19,11,,Alumni-Tickets,1,INF
101,101,19,12,,Alumni-Tickets,1,INF
101,101,19,13,,Alumni-Tickets,1,INF
101,101,19,14,,Alumni-Tickets,1,INF
101,101,19,15,,Alumni-Tickets,1,INF
101,101,19,16,,Alumni-Tickets,1,INF
101,101,19,17,,Alumni-Tickets,1,INF
101,101,19,18,,Alumni-Tickets,1,INF
101,101,19,19,,Alumni-Tickets,1,INF
101,101,19,20,,Alumni-Tickets,1,INF
101,101,19,21,,Alumni-Tickets,1,INF
101,101,19,22,,Alumni-Tickets,1,INF
101,101,20,1,,Alumni-Tickets,1,INF
101,101,20,2,,Alumni-Tickets,1,INF
101,101,20,3,,Alumni-Tickets,1,INF
101,101,20,4,,Alumni-Tickets,1,INF
101,101,20,5,,Alumni-Tickets,1,INF
101,101,20,6,,Alumni-Tickets,1,INF
101,101,20,7,,Alumni-Tickets,1,INF
101,101,20,8,,Alumni-Tickets,1,INF
101,101,20,9,,Alumni-Tickets,1,INF
101,101,20,10,,Alumni-Tickets,1,INF
101,101,20,11,,Alumni-Tickets,1,INF
101,101,20,12,,Alumni-Tickets,1,INF
101,101,20,13,,Alumni-Tickets,1,INF
101,101,20,14,,Alumni-Tickets,1,INF
101,101,20,15,,Alumni-Tickets,1,INF
101,101,20,16,,Alumni-Tickets,1,INF
101,101,20,17,,Alumni-Tickets,1,INF
101,101,20,18,,Alumni-Tickets,1,INF
101,101,20,19,,Alumni-Tickets,1,INF
101,101,20,20,INFILL-ALUMNI,,1,INF
101,101,20,21,INFILL-ALUMNI,,1,INF
101,101,20,22,INFILL-ALUMNI,,1,INF
101,101,20,23,INFILL-ALUMNI,,1,INF
101,101,21,1,,Alumni-Tickets,1,INF
101,101,21,2,,Alumni-Tickets,1,INF
101,101,21,3,,Alumni-Tickets,1,INF
101,101,21,4,,Alumni-Tickets,1,INF
101,101,21,5,,Alumni-Tickets,1,INF
101,101,21,6,,Alumni-Tickets,1,INF
101,101,21,7,,Alumni-Tickets,1,INF
101,101,21,8,,Alumni-Tickets,1,INF
101,101,21,9,,Alumni-Tickets,1,INF
101,101,21,10,,Alumni-Tickets,1,INF
101,101,21,11,,Alumni-Tickets,1,INF
101,101,21,12,,Alumni-Tickets,1,INF
101,101,21,13,,Alumni-Tickets,1,INF
101,101,21,14,,Alumni-Tickets,1,INF
101,101,21,15,,Alumni-Tickets,1,INF
101,101,21,16,,Alumni-Tickets,1,INF
101,101,21,17,,Alumni-Tickets,1,INF
101,101,21,18,,Alumni-Tickets,1,INF
101,101,21,19,,Alumni-Tickets,1,INF
101,101,21,20,,Alumni-Tickets,1,INF
101,101,21,21,,Alumni-Tickets,1,INF
101,101,21,22,,Alumni-Tickets,1,INF
101,101,21,23,,Alumni-Tickets,1,INF
101,101,19W,1,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,2,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,3,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,4,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,5,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,6,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,7,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,8,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,9,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,10,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,11,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,12,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,13,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,14,ADA-LAST-KILL,,1,Wheelchair
101,101,19W,15,ADA-LAST-KILL,,1,Wheelchair
102,102,1,1,OPENHOLD,,1,
102,102,1,2,OPENHOLD,,1,
102,102,1,3,OPENHOLD,,1,
102,102,1,4,OPENHOLD,,1,
102,102,1,5,OPENHOLD,,1,
102,102,1,6,OPENHOLD,,1,
102,102,1,7,OPENHOLD,,1,
102,102,1,8,OPENHOLD,,1,
102,102,1,9,OPENHOLD,,1,
102,102,1,10,OPENHOLD,,1,
102,102,1,11,OPENHOLD,,1,
102,102,1,12,OPENHOLD,,1,
102,102,2,1,OPENHOLD,,1,
102,102,2,2,OPENHOLD,,1,
102,102,2,3,OPENHOLD,,1,
102,102,2,4,OPENHOLD,,1,
102,102,2,5,OPENHOLD,,1,
102,102,2,6,OPENHOLD,,1,
102,102,2,7,OPENHOLD,,1,
102,102,2,8,OPENHOLD,,1,
102,102,2,9,OPENHOLD,,1,
102,102,2,10,OPENHOLD,,1,
102,102,2,11,OPENHOLD,,1,
102,102,2,12,OPENHOLD,,1,
102,102,3,1,OPENHOLD,,1,
102,102,3,2,OPENHOLD,,1,
102,102,3,3,OPENHOLD,,1,
102,102,3,4,OPENHOLD,,1,
102,102,3,5,OPENHOLD,,1,
102,102,3,6,OPENHOLD,,1,
102,102,3,7,OPENHOLD,,1,
102,102,3,8,OPENHOLD,,1,
102,102,3,9,OPENHOLD,,1,
102,102,3,10,OPENHOLD,,1,
102,102,3,11,OPENHOLD,,1,
102,102,3,12,OPENHOLD,,1,
102,102,3,13,OPENHOLD,,1,
102,102,4,1,OPENHOLD,,1,
102,102,4,2,OPENHOLD,,1,
102,102,4,3,OPENHOLD,,1,
102,102,4,4,OPENHOLD,,1,
102,102,4,5,OPENHOLD,,1,
102,102,4,6,OPENHOLD,,1,
102,102,4,7,OPENHOLD,,1,
102,102,4,8,OPENHOLD,,1,
102,102,4,9,OPENHOLD,,1,
102,102,4,10,OPENHOLD,,1,
102,102,4,11,OPENHOLD,,1,
102,102,4,12,OPENHOLD,,1,
102,102,4,13,OPENHOLD,,1,
102,102,4,14,OPENHOLD,,1,
102,102,5,1,OPENHOLD,,1,
102,102,5,2,OPENHOLD,,1,
102,102,5,3,OPENHOLD,,1,
102,102,5,4,OPENHOLD,,1,
102,102,5,5,OPENHOLD,,1,
102,102,5,6,OPENHOLD,,1,
102,102,5,7,OPENHOLD,,1,
102,102,5,8,OPENHOLD,,1,
102,102,5,9,OPENHOLD,,1,
102,102,5,10,OPENHOLD,,1,
102,102,5,11,OPENHOLD,,1,
102,102,5,12,OPENHOLD,,1,
102,102,5,13,OPENHOLD,,1,
102,102,5,14,OPENHOLD,,1,
102,102,5,15,OPENHOLD,,1,
102,102,6,1,OPENHOLD,,1,
102,102,6,2,OPENHOLD,,1,
102,102,6,3,OPENHOLD,,1,
102,102,6,4,OPENHOLD,,1,
102,102,6,5,OPENHOLD,,1,
102,102,6,6,OPENHOLD,,1,
102,102,6,7,OPENHOLD,,1,
102,102,6,8,OPENHOLD,,1,
102,102,6,9,OPENHOLD,,1,
102,102,6,10,OPENHOLD,,1,
102,102,6,11,OPENHOLD,,1,
102,102,6,12,OPENHOLD,,1,
102,102,6,13,OPENHOLD,,1,
102,102,6,14,OPENHOLD,,1,
102,102,6,15,OPENHOLD,,1,
102,102,6,16,OPENHOLD,,1,
102,102,7,1,OPENHOLD,,1,
102,102,7,2,OPENHOLD,,1,
102,102,7,3,OPENHOLD,,1,
102,102,7,4,OPENHOLD,,1,
102,102,7,5,OPENHOLD,,1,
102,102,7,6,OPENHOLD,,1,
102,102,7,7,OPENHOLD,,1,
102,102,7,8,OPENHOLD,,1,
102,102,7,9,OPENHOLD,,1,
102,102,7,10,OPENHOLD,,1,
102,102,7,11,OPENHOLD,,1,
102,102,7,12,OPENHOLD,,1,
102,102,7,13,OPENHOLD,,1,
102,102,7,14,OPENHOLD,,1,
102,102,7,15,OPENHOLD,,1,
102,102,7,16,OPENHOLD,,1,
102,102,7,17,OPENHOLD,,1,
102,102,8,1,OPENHOLD,,1,
102,102,8,2,OPENHOLD,,1,
102,102,8,3,OPENHOLD,,1,
102,102,8,4,OPENHOLD,,1,
102,102,8,5,OPENHOLD,,1,
102,102,8,6,OPENHOLD,,1,
102,102,8,7,OPENHOLD,,1,
102,102,8,8,OPENHOLD,,1,
102,102,8,9,OPENHOLD,,1,
102,102,8,10,OPENHOLD,,1,
102,102,8,11,OPENHOLD,,1,
102,102,8,12,OPENHOLD,,1,
102,102,8,13,OPENHOLD,,1,
102,102,8,14,OPENHOLD,,1,
102,102,8,15,OPENHOLD,,1,
102,102,8,16,OPENHOLD,,1,
102,102,8,17,OPENHOLD,,1,
102,102,8,18,OPENHOLD,,1,
102,102,8,19,OPENHOLD,,1,
102,102,9,1,OPENHOLD,,1,
102,102,9,2,OPENHOLD,,1,
102,102,9,3,OPENHOLD,,1,
102,102,9,4,OPENHOLD,,1,
102,102,9,5,OPENHOLD,,1,
102,102,9,6,OPENHOLD,,1,
102,102,9,7,OPENHOLD,,1,
102,102,9,8,OPENHOLD,,1,
102,102,9,9,OPENHOLD,,1,
102,102,9,10,OPENHOLD,,1,
102,102,9,11,OPENHOLD,,1,
102,102,9,12,OPENHOLD,,1,
102,102,9,13,OPENHOLD,,1,
102,102,9,14,OPENHOLD,,1,
102,102,9,15,OPENHOLD,,1,
102,102,9,16,OPENHOLD,,1,
102,102,9,17,OPENHOLD,,1,
102,102,9,18,OPENHOLD,,1,
102,102,9,19,OPENHOLD,,1,
102,102,9,20,OPENHOLD,,1,
102,102,10,1,OPENHOLD,,1,
102,102,10,2,OPENHOLD,,1,
102,102,10,3,OPENHOLD,,1,
102,102,10,4,OPENHOLD,,1,
102,102,10,5,OPENHOLD,,1,
